variant,outcome,focal_z,predicted_reactivity_db,ci95_pointwise_low,ci95_pointwise_high,other_scale_z_held,male_fraction_held,partnered_fraction_held
primary_posterior_roi_spline,STAI_trait,-0.7520355751,5.519564305,4.635682668,6.403445942,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.7338451955,5.514639716,4.630021776,6.399257656,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.7156548159,5.509958497,4.624459758,6.395457235,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6974644364,5.505524125,4.619059718,6.391988531,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6792740568,5.501340077,4.613882623,6.388797531,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6610836772,5.497409829,4.608987144,6.385832514,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6428932977,5.493736859,4.604429532,6.383044186,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6247029181,5.490324642,4.600263522,6.380385762,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.6065125385,5.487176656,4.596540265,6.377813047,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.588322159,5.484296378,4.593308277,6.375284478,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.5701317794,5.481687283,4.590613404,6.372761162,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.5519413998,5.479352849,4.588498798,6.370206901,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.5337510203,5.477296553,4.587004894,6.367588212,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.5155606407,5.475521871,4.586169392,6.36487435,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.4973702611,5.47403228,4.586027233,6.362037326,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.4791798816,5.47283052,4.586605429,6.35905561,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.460989502,5.471916385,4.587907492,6.355925278,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.4427991224,5.471288933,4.589928764,6.352649102,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.4246087429,5.470947221,4.592661746,6.349232697,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.4064183633,5.470890307,4.596096292,6.345684323,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.3882279837,5.471117249,4.600219791,6.342014707,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.3700376042,5.471627103,4.605017326,6.338236881,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.3518472246,5.472418929,4.610471811,6.334366046,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.333656845,5.473491782,4.616564121,6.330419442,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.3154664655,5.474844721,4.623273206,6.326416235,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2972760859,5.476476803,4.630576188,6.322377417,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2790857063,5.478387085,4.638448457,6.318325714,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2608953268,5.480574627,4.646863757,6.314285496,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2427049472,5.483038483,4.655794265,6.310282702,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2245145676,5.485777714,4.66521067,6.306344758,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.2063241881,5.488791375,4.675082247,6.302500504,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.1881338085,5.492078525,4.685376936,6.298780115,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.1699434289,5.495638221,4.696061423,6.29521502,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.1517530494,5.499469521,4.707101227,6.291837815,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.1335626698,5.503571482,4.718460793,6.288682171,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.1153722902,5.507943161,4.7301036,6.285782722,-1.264195561e-16,0.700729927,0.6058394161
